"Reference","Value","Qty","Mouser Part Number","RS order number"
"C1,C3,C7,C17,C18,C21,C23,C24,C25,C26,C27,C29,C30,C31,C32,C34,C36,C37,C38,C39","100nF","20","581-KGM15BR71H104KM","242-7372"
"C2,C6,C10,C28,C33,C35,C42,C49,C56,C63","1uF","10","963-UMK107BJ105KA-T","103-4112"
"C4,C8,C41,C45,C48,C52,C55,C59,C62,C66","47uF","10","810-C3216X5R1E476M","788-3060"
"C5,C9,C11,C12,C13,C14,C22,C43,C44,C50,C51,C57,C58,C64,C65","10uF","15","187-CL31A106MBHNNNE","172-1575"
"C15","10nF","1","80-C0603C103M5R3121","135-6315"
"C16","4.7uF","1","187-CL21A475KBQNNNE","113-8707"
"C19,C20","47pF","2","791-0603N470J101CT","135-6508"
"C40,C47,C54,C61","22nF","4","80-C0603C223K4R",""
"C46,C53,C60,C67","47nF","4","80-C0603C473K4RACLR",""
"D1,D2,D4,D5,D6,D7,D8,D9,D10,D11","BAT54WS","10","637-BAT54WS","738-4844"
"D3,D17,D18,D19,D20","SBR2065D1","5","621-SBR2065D1-13","133-3329"
"D12","UART_TX","1","604-AP1608SGC","466-3706"
"D13","UART_RX","1","859-LTST-C190KDKT10A","861-0090"
"D14","green","1","604-AP1608SGC","466-3706"
"D15","red","1","859-LTST-C190KDKT10A","861-0090"
"D16","yellow","1","604-APG1608SYKC/T","861-0087"
"F1","20A","1","","167-6068"
"FB1,FB2","BLM18P","2","81-BLM11P300S","724-1403"
"H1,H2,H3,H4","MountingHole_Pad","4","",""
"H5,H6,H7,H8,H9,H10,H11","heatsink_18x18","7","490-HSB06-181810",""
"IC1,IC2,IC3,IC4","LT8584EFE#PBF","4","584-LT8584EFE#PBF",""
"IC5","RESET","1","179-TS026650BK100SCR",""
"J1","VBAT_DISCHARGE","1","","144-4347"
"J2","CELLS","1","","790-0966"
"J3","Charge","1","","251-8086"
"J4","Discharge","1","","251-8086"
"J5","AMPHENOL_micro_usb_10118194-0001LF","1","649-10118194-0001LF","137-0996"
"J6","ARM-JTAG-SWD","1","200-FTSH10501FDVK","159-2372"
"J7","TEMP_CELL1","1","","897-1039"
"J8","TEMP_CELL2","1","","897-1039"
"J9","TEMP_CELL3","1","","897-1039"
"J10","TEMP_CELL4","1","","897-1039"
"L1,L2","RLB0914-220KL","2","652-RLB0914-220KL",""
"Q1,Q2","TJ40S04M3L","2","757-TJ40S04M3LT6L1NQ","171-2479"
"Q3,Q4,Q5,Q6,Q7,Q9,Q14","DMN3404L","7","621-DMN3404L-7","751-4171"
"Q8,Q10,Q11,Q12,Q13","BS250FTA","5","522-BS250FTA","215-6593"
"R1,R2,R3,R4,R33,R34,R37,R40","220kOhm","8","71-CRCW0603-220K-E3","678-9986"
"R5","2mOhm/5W","1","660-TLR3APSDTE2L00F7","231-3683"
"R6","200kOhm","1","667-ERA-3AEB204V","684-5537"
"R7,R11","390kOhm","2","603-RT0603FRE07390KL","679-0279"
"R8,R12,R19,R20,R21,R22,R23,R24,R30,R31,R32","10kOhm","11","652-CR0603FX-1002ELF","125-1173"
"R9,R35,R36,R38,R44","100kOhm","5","603-RT0603FRE13100KL","213-2531"
"R10,R14","39kOhm","2","603-RC0603FR-1039KL","679-0285"
"R13","43kOhm","1","603-RT0603FRE0743KL","679-0386"
"R15,R16","27Ohm","2","603-RC0603FR-0727RL","213-2058"
"R17,R18","120Ohm","2","603-RC0603FR-07120RL","199-5452"
"R25,R26,R45,R46,R47,R48","4.7kOhm","6","652-CR0603FX-4701ELF","901-3581"
"R27,R28,R29","100Ohm","3","279-CRGH0603F100R","125-1172"
"R39,R41","24kOhm","2","71-CRCW060324K0FKEAC","199-5507"
"R42","36kOhm","1","652-CR0603FX-3602ELF","199-5550"
"R43","68kOhm","1","603-RT0603FRE0768KL","199-5620"
"T1,T2,T3,T4","NA6252-ALD","4","994-NA6252-ALD",""
"U1","STC3100","1","511-STC3100IST","795-8779"
"U2,U3","L6982CDR","2","511-L6982CDR","228-2997"
"U4,U5","ICL7660","2","968-ICL7660CBAZ-T","197-2514"
"U6","FT230XS","1","895-FT230XS-R","757-0010"
"U7","STM32L071CZTx","1","511-STM32L071CZT6","196-2075"
"U8","AT24C512C","1","556-AT24C512C-SSHM-T","197-5331"
"U9","NCT75DR2G","1","863-NCT75DR2G","805-1854"
"U10,U11","LM2904M8-13","2","621-LM2904M8-13","133-3375"
