"Reference","Value","Qty","Mouser Part Number","RS order number"
"C1,C15","1uF","2","963-UMK107BJ105KA-T","103-4112"
"C2,C14,C16","4.7uF","3","187-CL21A475KBQNNNE","113-8707"
"C3,C13","470nF","2","963-TMK107B7474KA-TR",""
"C4,C17","47uF","2","810-C3216X5R1E476M","788-3060"
"C5,C19","470uF","2","647-UCD1J471MNQ1MS ","243-7225"
"C6,C9","100pF","2","80-C0603C101K5GACLR",""
"C7,C20","4700uF","2","80-ESK478M050AQ3AA",""
"C8,C12","100nF","2","581-KGM15BR71H104KM","242-7372"
"C10","22nF","1","80-C0603C223K4R",""
"C11","330pF","1","791-0603N331J500CT ",""
"C18","560pF","1","77-VJ0603A561JXAAC","135-6233"
"D1,D3","-- mixed values --","2","604-AP1608SGC","466-3706"
"D2","BAT54WS","1","637-BAT54WS","738-4844"
"H1,H2,J1,J2","-- mixed values --","4","","-- mixed values --"
"H3,H4,H5,H6,H7","~","5","490-HSB06-181810",""
"IC1","LM5122MHX_NOPB","1","595-LM5122MHX/NOPB",""
"L1","7443641000B","1","710-7443641000B",""
"Q1,Q2","SQJA42EP","2","78-SQJA42EP-T1_GE3","188-5140"
"R1,R15","1kOhm","2","603-RC0603FR-101KL","213-2266"
"R2","3.3Ohm","1","603-RT0603BRD073R3L",""
"R3,R9,R13","50kOhm","3","603-RT0603BRD0750KL ",""
"R4","6.8kOhm","1","594-MCT0603ME6801BP5",""
"R5,R8","100Ohm","2","279-CRGH0603F100R","125-1172"
"R6","2mOhm","1","660-TLR3APSDTE2L00F7","231-3683"
"R7","36kOhm","1","652-CR0603FX-3602ELF","199-5550"
"R10","1.5kOhm","1","667-ERA-3APB152V",""
"R11","2.7kOhm","1","667-ERA-3ARB272V",""
"R12","68kOhm","1","603-RT0603FRE0768KL","199-5620"
"R14","8.2Ohm","1","660-RK73B1JTTD8R2J ",""
